1a1t	None
1a34	1.81
1a4t	None
1a9n	2.38
1aq3	2.8
1aq4	3.0
1asy	2.9
1asz	3.0
1aud	None
1av6	2.8
1b23	2.6
1b2m	2.0
1b7f	2.6
1biv	None
1bmv	3.0
1c04	5.0
1c0a	2.4
1c9s	1.9
1cgm	3.4
1cvj	2.6
1cwp	3.2
1cx0	2.3
1d6k	None
1ddl	2.7
1dfu	1.8
1di2	1.9
1dk1	2.8
1drz	2.3
1dul	1.8
1dz5	None
1e7k	2.9
1e8o	3.2
1ec6	2.4
1efw	3.0
1eiy	3.3
1ekz	None
1etf	None
1etg	None
1euq	3.1
1euy	2.6
1exd	2.7
1exy	None
1f6u	None
1f7y	2.8
1f8v	3.0
1feu	2.3
1fje	None
1fjg	3.0
1fka	3.3
1fnx	None
1fxl	1.8
1g1x	2.6
1g2e	2.3
1g59	2.4
1g70	None
1gax	2.9
1gtf	1.75
1gtn	2.5
1gtr	2.5
1gts	2.8
1h2c	1.6
1h2d	2.6
1h38	2.9
1h3e	2.9
1h4q	3.0
1h4s	2.85
1hc8	2.8
1hji	None
1hnw	3.4
1hnx	3.4
1hnz	3.3
1hq1	1.52
1hr0	3.2
1hvu	4.75
1hys	3.0
1i5l	2.75
1i6h	3.3
1i6u	2.6
1i94	3.2
1i9f	None
1ibk	3.31
1ibl	3.11
1ibm	3.31
1il2	2.6
1ivs	2.9
1j1u	1.95
1j2b	3.3
1j5e	3.05
1jbr	2.15
1jbs	1.97
1jbt	2.7
1jid	1.8
1jj2	2.4
1k1g	None
1k73	3.01
1k8a	3.0
1k8w	1.85
1k9m	3.0
1kc8	3.01
1kd1	3.0
1knz	2.45
1kog	3.5
1kq2	2.71
1kqs	3.1
1kuq	2.84
1l1c	None
1l9a	2.9
1laj	3.4
1lng	2.3
1m1k	3.2
1m5k	2.4
1m5o	2.2
1m5p	2.6
1m5v	2.4
1m8v	2.6
1m8w	2.2
1m8x	2.2
1m8y	2.6
1m90	2.8
1mfq	3.1
1mji	2.5
1mms	2.57
1mnb	None
1msw	2.1
1mzp	2.65
1n1h	2.8
1n32	3.0
1n33	3.35
1n34	3.8
1n35	2.5
1n36	3.65
1n38	2.8
1n77	2.4
1n78	2.1
1n8r	3.0
1nb7	2.9
1nji	3.0
1nyb	None
1o0b	2.7
1o0c	2.7
1ob2	3.35
1ob5	3.1
1oln	None
1ooa	2.45
1p6v	3.2
1pgl	2.8
1pvo	3.0
1q2s	3.2
1q7y	3.2
1q81	2.95
1q82	2.98
1q86	3.0
1qa6	2.8
1qf6	2.9
1qfq	None
1qln	2.4
1qrs	2.6
1qrt	2.7
1qru	3.0
1qtq	2.25
1qu2	2.2
1qu3	2.9
1qvf	3.1
1qvg	2.9
